"ORIG","DEST","DISTANCE","TYPE"
"A81006","A81046",4.05151016805626,"ALL"
"Y04809","C86605",5.75912390295068,"ALL"
"P84040","P84679",2.84538461477346,"ALL"
"K83035","K83003",4.0784680366517,"ALL"
"J82150","J81056",5.2957016634141,"ALL"
"C82055","D81606",3.74417039673398,"ALL"
"A83046","C81063",4.97667971427735,"ALL"
"M83698","M83130",5.20423769583608,"ALL"
"A83030","A83049",4.02084187097677,"ALL"
"P86010","P82006",3.99450854706404,"ALL"
"F86081","F86698",3.42413096775499,"ALL"
"J83633","J81625",4.48002597961094,"ALL"
"J82121","J82136",3.38255031669464,"ALL"
"E84024","E83017",4.94988867673064,"ALL"
"L81031","L81084",5.0172857246809,"ALL"
"J82017","D83038",3.72168061969903,"ALL"
"B85646","Y04266",4.6866172831268,"ALL"
"P81059","M83121",4.40851496457049,"ALL"
"A82018","N81061",5.1648755223283,"ALL"
"Y01066","F83060",4.1688635271016,"ALL"
"Y00347","C81059",4.15891135445374,"ALL"
"G83024","G83057",3.95529103240215,"ALL"
"E85683","E85693",4.47496629275107,"ALL"
"P83011","P82005",4.46010769724413,"ALL"
"J84003","J84019",5.60873024289934,"ALL"
"H85038","H83007",4.34264017849877,"ICB"
"E85024","E85734",4.39597432635617,"ICB"
"Y02974","G83039",6.42499709088134,"ICB"
"N81031","N81038",4.68696149954881,"ICB"
"G83067","G83027",5.74569832743477,"ICB"
"Y02639","E82023",4.44305679251819,"ICB"
"P82001","P92626",4.91216785958285,"ICB"
"C82050","C82047",3.62931683721283,"ICB"
"J83042","J83007",2.17828718992863,"ICB"
"M84040","M84035",5.00915526664055,"ICB"
"D83080","D83084",2.95244358664422,"ICB"
"Y01948","B81617",11.2591336431603,"ICB"
"C87004","C87007",4.21961214335654,"ICB"
"D82031","D82050",3.94537937812548,"ICB"
"B82060","B82074",4.31946875054465,"ICB"
"A81029","A81049",6.52977238908035,"ICB"
"K81020","K82011",4.04220486983247,"ICB"
"G85014","G85022",3.6766684089948,"ICB"
"K81085","K81082",5.16243370291686,"ICB"
"Y05346","C84637",5.41359879504285,"ICB"
"C83036","C83039",4.12321975756586,"ICB"
"J81066","J81086",4.64176890596038,"ICB"
"E86022","E86012",3.66360641332251,"ICB"
"M83046","M83011",4.06919600580616,"ICB"
"N81096","N81054",3.27871116544769,"ICB"
"G83013","G85001",4.22292499008058,"REGION"
"C84009","C83048",4.05821391310895,"REGION"
"K81644","K82010",3.93398911983181,"REGION"
"P82037","P82012",4.91392285657633,"REGION"
"C82121","C82050",3.5270650334408,"REGION"
"E85014","G85046",4.66119992054831,"REGION"
"G82023","G82729",4.82127501112651,"REGION"
"C88086","C88020",5.62933272231065,"REGION"
"E83026","F85687",4.45157551205655,"REGION"
"P92635","P83015",5.34447579992275,"REGION"
"N82617","P84669",7.04937686129167,"REGION"
"F81001","F81690",4.20877413597835,"REGION"
"M92627","M92040",4.03726702735431,"REGION"
"G85031","G83058",5.12943483763245,"REGION"
"B82080","B82041",4.42597459041214,"REGION"
"L82023","L82068",5.71286153614186,"REGION"
"L83055","Y01922",4.88939206954533,"REGION"
"P83608","P83011",3.84321151077996,"REGION"
"N83025","N83601",4.11798369270815,"REGION"
"A89018","A89017",4.39554788631413,"REGION"
"C82116","C82659",4.22379532525339,"REGION"
"K83031","M84616",4.50651705939379,"REGION"
"J82081","J82024",5.13773466373876,"REGION"
"E81617","K82015",5.45964506525824,"REGION"
"G82203","G82113",3.79302786784939,"REGION"
